,Behavior_Statistic,Line_Name,Raw_Value,Z_Score,pVal_Greater,pVal_Smaller
0,absangle2wall_move,R80A01,1.385627,5.299736,0.000000,1.000000
1,absangle2wall_nearwall,R80A01,1.416691,1.212400,0.025800,0.974200
2,absangle2wall_stop,R80A01,1.574884,-1.706925,0.997100,0.002900
3,absanglefrom1to2_nose2ell_nearfly,R80A01,1.613124,1.768668,0.002800,0.997200
4,absanglefrom1to2_nose2ell_stop_nearfly,R80A01,1.576668,0.342125,0.267900,0.732100
5,absanglefrom1to2_nose2ell_touch,R80A01,0.795013,2.363668,0.001700,0.998300
6,absdangle2wall_nearwall,R80A01,0.699558,-8.186412,1.000000,0.000000
7,absdtheta,R80A01,0.629079,-7.830744,1.000000,0.000000
8,absdtheta_pivotcenter,R80A01,5.143002,-2.782277,1.000000,0.000000
9,absdtheta_pivottail,R80A01,4.640570,-2.592917,1.000000,0.000000
10,absdtheta_walk,R80A01,0.770288,-9.294995,1.000000,0.000000
11,absdv_cor_crabwalkextreme,R80A01,2.667798,-9.335146,1.000000,0.000000
12,absdv_cor_move,R80A01,1.171846,-10.049509,1.000000,0.000000
13,absdv_cor_nearfly,R80A01,0.726854,-5.916257,1.000000,0.000000
14,absdv_cor_nearwall,R80A01,0.839527,-7.203286,1.000000,0.000000
15,absdv_cor_notnearfly_notnearwall,R80A01,0.422410,-2.620189,1.000000,0.000000
16,absdv_cor_walk,R80A01,1.323605,-10.860319,1.000000,0.000000
17,absphidiff_nose2ell_chase_male,R80A01,0.405762,-1.391247,0.994500,0.005500
18,absthetadiff_nose2ell_nearfly,R80A01,1.590923,-0.330456,0.744200,0.255800
19,absthetadiff_nose2ell_touch,R80A01,1.773814,0.041717,0.484900,0.515100
20,absthetadiff_nose2ell_nearfly_female,R80A01,1.615680,-0.342888,0.749400,0.250600
21,absthetadiff_nose2ell_touch_female,R80A01,1.868334,0.516425,0.171200,0.828800
22,absthetadiff_nose2ell_chase_male,R80A01,0.305036,-2.168031,0.999900,0.000100
23,absthetadiff_nose2ell_nearfly_male,R80A01,1.565899,-0.349210,0.751100,0.248900
24,absthetadiff_nose2ell_touch_male,R80A01,1.683759,-0.191825,0.653900,0.346100
25,absthetadiff_nose2ell_wingextension_male,R80A01,0.885215,-0.672276,0.801200,0.198800
26,absyaw_move,R80A01,0.322057,-8.617444,1.000000,0.000000
27,angleonclosestfly_nearfly,R80A01,-0.314377,1.536908,0.002900,0.997100
28,angleonclosestfly_stop_nearfly,R80A01,-0.326419,0.765336,0.096900,0.903100
29,angleonclosestfly_touch,R80A01,-0.181588,4.031972,0.000000,1.000000
30,angleonclosestfly_nearfly_female,R80A01,-0.312689,1.127402,0.011400,0.988600
31,angleonclosestfly_touch_female,R80A01,-0.197420,2.945449,0.000000,1.000000
32,angleonclosestfly_chase_male,R80A01,0.002616,0.162673,0.388900,0.611100
33,angleonclosestfly_nearfly_male,R80A01,-0.316820,1.003672,0.042300,0.957700
34,angleonclosestfly_touch_male,R80A01,-0.163363,2.470692,0.000000,1.000000
35,angleonclosestfly_wingextension_male,R80A01,0.120270,1.224710,0.037600,0.962400
36,anglesub,R80A01,0.166613,-2.348901,1.000000,0.000000
37,corfrac_maj_pivotcenter,R80A01,-0.110650,0.014204,0.428300,0.571700
38,corfrac_maj_pivottail,R80A01,-0.726405,-4.130467,1.000000,0.000000
39,dangle2wall_nearwall,R80A01,0.018436,-0.466770,0.798400,0.201600
40,danglesub_nearfly,R80A01,-0.048898,3.160676,0.000000,1.000000
41,darea,R80A01,-0.000022,-0.041261,0.535400,0.464600
42,dcenter,R80A01,12.323957,3.247173,0.000000,1.000000
43,dcenter_move,R80A01,12.179747,3.100469,0.000000,1.000000
44,dcenter_stop,R80A01,12.178981,1.961444,0.000300,0.999700
45,dcenter_female,R80A01,12.152762,2.843966,0.000000,1.000000
46,dcenter_male,R80A01,12.493605,3.044963,0.000000,1.000000
47,ddcenter_nearfly,R80A01,0.107962,-4.108093,1.000000,0.000000
48,ddist2wall_nearwall,R80A01,0.005066,-2.763015,1.000000,0.000000
49,ddnose2ell_nearfly,R80A01,0.547249,-3.501333,1.000000,0.000000
50,ddnose2ell_chase_male,R80A01,-1.270311,-0.077288,0.584200,0.415800
51,dell2nose,R80A01,11.412355,3.188830,0.000000,1.000000
52,dell2nose_female,R80A01,11.177227,2.776473,0.000000,1.000000
53,dell2nose_male,R80A01,11.643132,3.024592,0.000000,1.000000
54,dist2wall,R80A01,13.029524,1.761517,0.004200,0.995800
55,dist2wall_move,R80A01,9.912207,1.640338,0.009800,0.990200
56,dist2wall_stop,R80A01,16.005772,0.871351,0.074600,0.925400
57,dist2wall_walk,R80A01,9.468406,0.818101,0.071200,0.928800
58,dist2wall_female,R80A01,12.880103,0.832307,0.078800,0.921200
59,dist2wall_male,R80A01,13.196352,2.428530,0.000600,0.999400
60,dmax_wing_angle,R80A01,0.003255,-0.386366,0.807100,0.192900
61,dnose2ell_angle_30tomin30,R80A01,12.031016,3.265025,0.000000,1.000000
62,dnose2ell_angle_30tomin30_female,R80A01,11.843735,2.787906,0.000000,1.000000
63,dnose2ell_angle_30tomin30_male,R80A01,12.216036,3.094292,0.000000,1.000000
64,dnose2ell,R80A01,11.408097,3.170788,0.000000,1.000000
65,dnose2ell_stop,R80A01,11.263154,1.917572,0.000500,0.999500
66,dnose2ell_touch,R80A01,1.102492,-0.369513,0.765300,0.234700
67,dnose2ell_walk,R80A01,12.090719,2.286987,0.000100,0.999900
68,dnose2ell_female,R80A01,11.217424,2.721508,0.000000,1.000000
69,dnose2ell_male,R80A01,11.596702,2.995824,0.000000,1.000000
70,dnose2tail,R80A01,12.305187,3.216901,0.000000,1.000000
71,dnose2tail_move,R80A01,12.143371,2.956705,0.000000,1.000000
72,dnose2tail_female,R80A01,12.105928,2.736389,0.000000,1.000000
73,dnose2tail_male,R80A01,12.502285,3.009936,0.000000,1.000000
74,dtheta,R80A01,0.003203,0.530871,0.159900,0.840100
75,du_ctr_backup,R80A01,-5.758784,3.859223,0.000000,1.000000
76,du_ctr_move,R80A01,5.367841,-5.906022,1.000000,0.000000
77,du_ctr_walk,R80A01,7.131891,-8.957683,1.000000,0.000000
78,du_ctr_female,R80A01,3.182124,-3.905994,1.000000,0.000000
79,du_ctr_male,R80A01,3.241938,-4.462498,1.000000,0.000000
80,du_ctr_chase_male,R80A01,7.266294,-5.558631,1.000000,0.000000
81,duration_backup,R80A01,0.153080,5.386541,0.000000,1.000000
82,duration_crabwalkextreme,R80A01,0.115859,-0.431655,0.701400,0.298600
83,duration_jump,R80A01,0.103636,4.761141,0.000000,1.000000
84,duration_move,R80A01,1.263580,-1.708309,0.998900,0.001100
85,duration_pivotcenter,R80A01,0.099518,3.843688,0.000000,1.000000
86,duration_pivottail,R80A01,0.113251,-4.309036,1.000000,0.000000
87,duration_righting,R80A01,0.445200,0.976908,0.105900,0.894100
88,duration_stop,R80A01,0.998197,-0.127326,0.569200,0.430800
